"gene"	"mRNA len"	"genomic span"	"DC_normal"	"DC_treated"	"DC0904"	"DC0907"	"DCLPS0910"	"DCLPS0913"	"A_DC"	"A_DC_LPS"	"B_DC"	"B_DC_LPS"	"C_DC"	"C_DC_LPS"	"C2DC"	"C2DCLPS"	"C3DC"	"C3DCLPS"
"POLR2J2"	1725	34712	653	309	421	232	167	142	903	505	1189	1163	437	423	5324	3218	9096	4901
"POLR2J3"	1689	34704	503	195	347	156	92	103	520	286	699	843	195	176	2172	1649	4731	2644
"POLR2J4"	6482	78256	1039	218	587	452	122	96	863	469	765	552	699	670	2017	1772	3909	1713
"POLR2K"	974	3392	15	0	15	0	0	0	0	45	0	0	455	777	357	392	398	344
"POLR2L"	877	2809	105	0	57	48	0	0	56	26	0	66	542	439	743	909	1159	854
"POLR3A"	5628	53355	146	0	106	40	0	0	158	7	112	0	340	346	743	327	865	416
"POLR3B"	4299	152540	105	2	72	33	0	2	191	72	0	31	313	273	270	202	323	203
"POLR3C"	1865	18280	588	424	307	281	189	235	359	451	374	536	843	937	877	871	933	560
"POLR3D"	1937	6062	158	99	79	79	60	39	155	146	0	20	416	687	401	558	408	320
"POLR3E"	4853	31673	708	364	364	344	217	147	600	561	35	368	650	583	625	612	911	559
"POLR3F"	2263	17253	130	16	83	47	16	0	102	47	0	0	308	257	217	166	281	164
"POLR3G"	3291	39688	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
"POLR3GL"	1173	14153	23	0	19	4	0	0	50	10	0	0	201	511	425	412	324	356
"POLR3H"	4479	18678	960	357	511	449	195	162	399	358	520	584	74	2552	3216	3025	4581	3186
"POLR3K"	799	6627	95	7	44	51	0	7	51	8	0	0	369	349	358	319	99	248
"POLRMT"	3821	16347	189	0	123	66	0	0	196	51	118	0	298	184	1048	694	1104	803
"POLS"	3874	42445	10053	20622	5573	4480	11117	9505	3546	9999	5909	15831	1212	3795	1659	3054	1841	1521
"POM121"	7027	72045	3645	1304	2029	1616	713	591	1794	892	2235	1872	1332	1204	3550	3068	4515	2513
"POM121-2"	1211	5202	588	78	314	274	69	9	457	173	203	336	177	196	434	428	475	299
"POM121-like 1"	2168	2168	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
"POM121C"	5877	69504	1005	194	581	424	124	70	797	297	203	543	777	822	3041	2729	3720	2169
"POM121L1"	1689	4998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POM121L10P"	9553	13983	0	0	0	0	0	0	23	9	0	0	0	0	0	13	0	0
"POM121L12"	1270	1270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POM121L1P"	4005	12986	0	0	0	0	0	0	25	0	0	0	0	0	5	0	6	0
"POM121L2"	3171	3171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POM121L8P"	7710	15294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
"POMC"	1299	7839	0	0	0	0	0	0	0	0	0	0	40	23	22	0	0	0
"POMGNT1"	2958	31625	61	0	38	23	0	0	137	31	0	0	422	464	614	566	646	466
"POMP"	1365	19852	794	361	434	360	202	159	471	282	354	431	1832	2196	2227	2414	2335	1992
"POMT1"	3339	20905	300	126	183	117	72	54	469	196	31	92	260	273	395	363	605	446
"POMT2"	5474	26209	35	29	9	26	10	19	232	74	28	22	294	276	278	241	461	245
"POMZP3"	1678	17318	693	352	336	357	168	184	311	160	48	142	185	175	174	339	461	191
"PON1"	1759	26215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PON2"	1680	30211	3503	1118	1905	1598	576	542	1180	282	817	403	2934	1965	1615	1066	3229	1560
"PON3"	1687	98018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POP1"	4760	42549	146	19	91	55	19	0	102	14	0	31	406	331	487	313	547	299
"POP2"	1313	23265	68	627	39	29	369	258	67	336	0	46	10	231	30	71	32	29
"POP3"	1385	18349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POP4"	2601	10994	110	98	75	35	52	46	61	94	0	100	695	771	654	586	824	614
"POP5"	805	2354	104	0	44	60	0	0	49	41	0	85	332	161	345	291	410	196
"POP7"	933	1448	0	0	0	0	0	0	19	0	0	24	301	195	335	256	443	258
"POPDC2"	1732	18498	52	519	39	13	314	205	29	210	0	0	10	197	30	71	32	29
"POPDC3"	1844	22077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POR"	2514	71754	763	108	480	283	69	39	867	577	323	527	1754	694	3260	3580	1942	1772
"PORCN"	2180	11833	0	0	0	0	0	0	46	8	0	0	50	79	92	83	105	57
"POSTN"	3402	36263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POT1"	4221	107598	112	64	69	43	28	36	153	91	39	47	368	433	376	269	396	248
"POTEA"	1990	70745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POTEB"	2034	31278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POTEC"	2253	31863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POTED"	1837	31410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POTEE"	3455	46494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POTEF"	4354	55689	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
"POTEG"	2194	31579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POTEH"	2048	31607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU1F1"	1346	16956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU2AF1"	3034	27176	0	0	0	0	0	0	44	22	35	0	112	154	0	25	7	18
"POU2F1"	3074	195176	1762	291	1071	691	138	153	1698	464	0	517	54	454	150	134	99	66
"POU2F2"	4669	43959	562	44	331	231	18	26	493	525	218	1305	634	607	371	354	610	434
"POU2F3"	2978	79704	0	0	0	0	0	0	9	11	0	0	0	1	0	0	0	0
"POU3F1"	2929	2929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU3F2"	4087	4087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU3F3"	1503	1503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU3F4"	1508	1508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU4F1"	3814	4465	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
"POU4F2"	3142	3579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU4F3"	1184	1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU5F1"	1405	6338	65	15	35	30	15	0	93	69	0	75	0	0	11	0	57	0
"POU5F1B"	1584	1584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU5F1P1"	382	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POU5F1P3"	382	382	14765	3550	8210	6555	1370	2180	5803	117	1414	269	4267	206	456	14	1356	188
"POU5F1P4"	382	382	65	15	35	30	15	0	23	34	0	75	0	0	0	0	0	0
"POU5F2"	1296	1296	133	66	55	78	31	35	55	77	0	54	0	0	0	0	0	0
"POU5FLC12"	382	382	14765	3550	8210	6555	1370	2180	5803	117	1414	269	4267	206	456	14	1356	188
"POU6F1"	5167	30759	52	0	0	52	0	0	77	25	0	0	0	12	0	6	0	0
"POU6F2"	2233	457984	0	0	0	0	0	0	20	25	0	0	0	0	0	0	0	0
"PP1164"	2324	14891	0	0	0	0	0	0	0	0	0	0	0	0	516	519	513	345
"PP14183"	3082	11109	2571	3339	1452	1119	1829	1510	876	2496	2603	5625	1354	1703	1772	2215	2146	1947
"PP14296"	2906	23748	0	0	0	0	0	0	246	102	0	0	0	0	0	0	0	0
"PP14571"	2019	7283	0	0	0	0	0	0	15	14	0	0	0	0	0	0	0	0
"PP18"	2072	15983	31	0	6	25	0	0	167	26	0	0	199	405	451	312	707	354
"PP187"	1984	92149	13	0	6	7	0	0	0	0	0	0	6	7	34	78	3	0
"PP199"	872	13235	830	549	442	388	270	279	453	340	275	1070	835	846	1134	890	1250	809
"PP2CE"	2977	200429	38037	38828	21373	16664	21119	17709	13210	16833	6123	18218	5694	6546	2410	1802	2821	1198
"PPA1"	1313	30606	11	151	0	11	94	57	57	236	0	142	183	210	588	570	624	595
"PPA2"	1729	104994	8207	2570	4632	3575	1405	1165	4071	957	2396	1967	2314	1943	1495	1197	1931	1404
"PPAN"	3214	9099	1611	304	1476	135	184	120	435	730	916	371	7431	4196	6203	3477	7379	3903
"PPAN-P2RY11"	3152	9099	1611	304	1476	135	184	120	435	730	916	371	7431	4196	6203	3477	7379	3903
"PPAP2A"	1629	110190	1651	955	887	764	556	399	705	449	94	465	188	613	425	348	671	486
"PPAP2B"	3300	84826	29747	26603	16440	13307	14223	12380	10794	12635	21770	36898	4412	7041	1663	1284	4146	1241
"PPAP2C"	1381	10125	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0
"PPAPDC1A"	1861	124831	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
"PPAPDC1B"	2187	6008	139	96	49	90	57	39	129	74	58	145	580	609	723	712	762	475
"PPAPDC2"	2960	2960	0	0	0	0	0	0	0	0	0	0	220	146	254	62	284	116
"PPAPDC3"	2097	19570	0	0	0	0	0	0	104	9	0	0	0	0	0	0	0	0
"PPARA"	10351	92924	817	34	454	363	27	7	761	301	144	85	785	833	1159	893	1259	739
"PPARD"	3837	85620	17720	51566	9905	7815	27564	24002	4622	22947	7034	51570	2743	7003	2302	4620	3178	3406
"PPARG"	1926	145420	3019	5034	1706	1313	2771	2263	2861	3514	304	2652	390	328	1578	1978	880	1091
"PPARGC1A"	6330	98057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPARGC1B"	4814	117405	25567	5042	14139	11428	2624	2418	9979	3712	22083	8678	2735	2508	1160	958	1413	928
"PPAT"	3754	42316	43	0	43	0	0	0	89	0	0	0	202	155	341	177	318	136
"PPBP"	701	1144	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	5
"PPBPL1"	383	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPBPL2"	1363	1363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPCDC"	2224	27141	1080	52	600	480	36	16	665	106	727	162	262	237	302	208	452	190
"PPCS"	1491	3914	531	136	299	232	96	40	219	52	286	34	1668	1358	1778	1061	2035	1082
"PPDPF"	780	1392	28	1	28	0	1	0	20	13	72	0	2158	1384	1957	1829	1909	2083
"PPEF-1"	2398	120256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPEF-2"	4274	42655	4	0	4	0	0	0	3	0	0	3	0	0	1	1	0	0
"PPEF1"	2889	136989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPEF2"	3428	42655	4	0	4	0	0	0	3	0	0	3	0	0	1	1	0	0
"PPFIA1"	5251	113679	4688	643	2652	2036	314	329	3149	596	2992	1289	1267	1379	2051	1797	2289	1588
"PPFIA2"	4082	499755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPFIA2 variant protein"	3929	496560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPFIA3"	4746	31617	13	0	13	0	0	0	228	126	12	0	18	16	32	6	14	22
"PPFIA4"	6379	44253	0	0	0	0	0	0	189	64	0	0	0	0	0	0	0	0
"PPFIBP1"	6123	171453	24832	9188	13701	11131	4962	4226	9703	2882	11496	10204	4393	5021	4531	3696	5067	3086
"PPFIBP2"	3820	76993	15566	17365	8687	6879	9317	8048	6346	13942	3049	23556	2140	2189	3003	2688	3763	2176
"PPHLN1"	4394	122477	4073	971	2250	1823	544	427	2614	956	637	1034	1857	2571	1290	1078	1895	1323
"PPIA"	2438	6476	721	761	399	322	408	353	264	334	464	811	6143	7162	19811	19930	21496	17732
"PPIAL4A"	784	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPIAL4B"	784	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPIAL4E"	784	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPIAL4F"	784	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPIAL4G"	737	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPIB"	1345	3883	312	70	142	170	26	44	107	86	43	86	2775	2467	2909	3389	3781	1723
"PPIC"	1239	13347	0	0	0	0	0	0	0	0	0	0	83	66	58	51	139	95
"PPID"	1843	14274	187	219	145	42	107	112	138	113	18	99	790	1257	675	736	866	719
"PPIE"	4681	14850	127	29	56	71	10	19	233	28	40	0	560	548	600	448	799	455
"PPIF"	2201	7866	820	2270	464	356	1200	1070	239	868	264	2118	1888	4413	2078	4138	2231	3380
"PPIG"	2713	53399	2241	1100	1217	1024	620	480	1352	765	187	1235	1978	2123	2451	1469	2477	1474
"PPIH"	1210	9522	423	71	218	205	36	35	269	57	0	43	403	268	480	234	621	312
"PPIL1"	1740	20196	0	0	0	0	0	0	29	0	0	0	387	354	442	334	433	328
"PPIL2"	4121	31930	1713	739	1000	713	431	308	966	543	1267	834	1942	1717	2005	1393	2670	1551
"PPIL3"	1613	18321	988	43	580	408	22	21	437	15	136	0	1041	784	340	513	675	429
"PPIL4"	3318	30881	3731	939	2123	1608	537	402	1328	416	771	567	837	728	1144	892	1435	904
"PPIL5"	1970	15976	16	11	16	0	11	0	0	20	0	0	226	227	395	502	584	357
"PPIL6"	3687	50430	2	0	0	2	0	0	39	0	0	111	77	54	88	78	203	122
"PPL"	6260	54630	322	30	182	140	30	0	327	169	197	137	1	0	0	0	0	0
"PPM1A"	8208	49839	4359	3043	2426	1933	1748	1295	1768	1456	886	1737	2202	2255	2100	1561	2296	1443
"PPM1B"	3855	65743	7613	5278	4227	3386	2965	2313	3012	1975	2354	3340	2424	2892	2611	1961	2730	1922
"PPM1D"	3281	64484	1132	804	615	517	385	419	843	582	265	1151	580	503	868	707	924	546
"PPM1E"	6542	229302	0	0	0	0	0	0	21	0	0	0	0	6	1	3	9	2
"PPM1F"	5159	33426	3343	803	1385	1958	408	395	1988	529	3763	699	4599	4573	944	542	8003	4682
"PPM1G"	3834	28436	682	191	374	308	101	90	470	193	110	402	2375	1897	1874	2192	3811	1568
"PPM1H"	6210	290904	23	0	8	15	0	0	122	44	0	21	121	150	237	123	165	73
"PPM1J"	2489	5299	0	0	0	0	0	0	83	31	5	0	58	50	42	24	102	48
"PPM1K"	3729	24356	1393	7414	808	585	3997	3417	566	3761	61	2982	785	4779	516	1865	575	748
"PPM1L"	3056	314819	75300	71674	42198	33102	38926	32748	30080	26375	22335	34816	6106	6966	2806	2120	3282	1198
"PPM1M"	2399	4388	3212	918	1794	1418	480	438	1133	322	2806	912	8261	6714	9557	6321	12696	6047
"PPME1"	2466	83381	344	0	244	100	0	0	410	0	0	3	535	559	552	494	623	501
"PPOX"	2569	11622	308	3	197	111	0	3	318	103	81	0	876	700	947	808	1337	785
"PPP1CA"	1703	3425	815	187	521	294	38	149	548	468	496	188	2572	4761	6974	4548	8101	5167
"PPP1CB"	4993	51181	3943	3903	2236	1707	2124	1779	1755	1658	854	3386	5665	6528	4920	4638	5208	3856
"PPP1CC"	2490	23144	530	31	287	243	17	14	516	72	111	51	2789	2410	3403	2312	3537	1980
"PPP1R10"	4539	16840	2592	2162	1452	1140	628	1534	950	492	1202	2394	2510	2691	3054	2261	3705	1784
"PPP1R11"	1817	3177	152	119	97	55	42	77	116	46	0	47	1190	1465	1201	1277	1714	1258
"PPP1R12A"	5750	161636	20150	34216	11429	8721	18460	15756	7932	14946	4261	23518	3397	4509	3402	3448	3994	2531
"PPP1R12B"	11308	239863	2218	872	1311	907	492	380	2421	918	332	971	643	745	642	560	663	372
"PPP1R12C"	2944	26646	2619	845	1462	1157	429	416	909	741	2976	2291	991	1327	2471	2029	2389	2417
"PPP1R13B"	4976	113841	1099	500	619	480	228	272	407	169	99	453	441	285	243	148	466	254
"PPP1R13L"	3134	26716	0	0	0	0	0	0	79	49	0	0	0	0	0	3	6	0
"PPP1R14A"	720	5295	121	1	61	60	0	1	148	24	0	0	844	3	161	130	390	211
"PPP1R14B"	989	2462	25	0	11	14	0	0	0	28	0	0	0	2	757	366	568	339
"PPP1R14C"	2213	107340	0	0	0	0	0	0	51	10	0	0	0	0	0	0	0	0
"PPP1R14D"	876	13264	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
"PPP1R15A"	2385	3671	3691	21800	2115	1576	11544	10256	331	12652	218	15737	1475	1970	1650	81099	2278	74524
"PPP1R15B"	5275	8452	692	5112	386	306	2846	2266	434	2642	465	3306	2785	3	2920	14586	3065	4942
"PPP1R16A"	2728	12088	326	106	158	168	60	46	296	170	375	60	934	695	1216	790	2015	989
"PPP1R16B"	6261	117320	2873	1154	1625	1248	650	504	1572	705	739	4820	2050	2551	790	603	1882	1193
"PPP1R1A"	1841	9421	3	5	0	3	3	2	12	12	0	0	0	1	195	0	256	0
"PPP1R1B"	1879	9698	0	0	0	0	0	0	11	28	0	0	0	0	0	0	0	0
"PPP1R1C"	2019	144374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPP1R2"	3471	29003	1552	1777	877	675	1010	767	724	1086	266	1962	1495	2080	1772	1729	1915	1607
"PPP1R2P1"	3598	3598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPP1R2P3"	1992	1992	0	0	0	0	0	0	0	0	0	0	144	197	0	0	0	0
"PPP1R2P9"	869	869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPP1R3A"	4300	42202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPP1R3B"	5635	15312	981	102	583	398	58	44	730	43	104	15	3043	896	3160	845	5072	1880
"PPP1R3C"	2571	4659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPP1R3D"	3460	3460	0	0	0	0	0	0	28	0	0	0	549	214	531	136	655	172
"PPP1R3F"	2945	17762	483	172	299	184	89	83	228	91	0	78	141	102	95	103	211	103
"PPP1R3G"	1737	1737	0	0	0	0	0	0	0	0	0	0	26	12	0	0	55	0
"PPP1R7"	1303	32539	1481	188	782	699	100	88	1014	164	504	59	2941	2730	3009	2454	3764	2699
"PPP1R8"	2698	20892	173	49	115	58	34	15	88	83	0	53	964	441	919	598	1106	796
"PPP1R9A"	10537	388778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPP1R9B"	4038	16777	2036	609	1006	1030	328	281	733	458	1836	743	3856	3326	7772	4026	9719	5188
"PPP2CA"	2649	29803	2941	5347	1661	1280	2932	2415	1284	2597	723	5006	950	2007	1161	1875	1110	1664
"PPP2CB"	1976	27227	593	364	356	237	223	141	273	390	170	438	1056	790	1082	1114	1134	1038
"PPP2R1A"	2745	25326	2071	1405	1173	898	727	678	1008	1014	539	1897	3585	2199	4138	3194	4212	2993
"PPP2R1B"	5620	28566	406	97	213	193	59	38	431	155	270	67	1426	1413	1464	704	1910	792
"PPP2R2A"	2372	79613	9759	10018	5236	4523	5486	4532	5229	5337	2854	6791	2401	3314	2949	2922	3814	2532
"PPP2R2B"	2392	289091	201	0	143	58	0	0	570	73	0	17	64	98	39	22	102	89
"PPP2R2C"	4446	152022	0	0	0	0	0	0	781	273	0	0	1	1	0	0	0	0
"PPP2R2D"	1901	16518	2974	3133	1668	1306	1690	1443	1334	1419	1379	2627	917	1219	985	1306	1275	971
"PPP2R3A"	6757	182168	1348	818	743	605	464	354	799	446	0	211	216	276	231	173	176	44
"PPP2R3B"	2072	52657	0	0	0	0	0	0	0	0	0	0	0	0	61	66	94	57
"PPP2R3C"	1846	36842	1026	1342	550	476	728	614	591	807	278	967	1226	1540	753	893	895	658
"PPP2R4"	2835	37612	1021	40	597	424	13	27	1003	151	657	0	3066	2512	3918	2958	5287	3509
"PPP2R5A"	3140	76327	5179	644	2951	2228	402	242	2513	206	607	93	1509	1763	1686	1265	1905	1214
"PPP2R5B"	2722	9767	85	0	46	39	0	0	131	89	52	19	258	340	285	335	440	370
"PPP2R5C"	4497	166193	9379	3471	5344	4035	1845	1626	4723	1989	2483	3353	3496	4026	3607	3585	5734	3798
"PPP2R5D"	2965	27750	550	94	303	247	64	30	459	149	107	19	747	1449	751	1425	2151	1508
"PPP2R5E"	3380	168726	5132	1017	2817	2315	515	502	2875	708	1220	1005	810	1420	735	681	992	722
"PPP3CA"	4704	324043	21928	9378	12335	9593	5095	4283	11405	5617	4913	5168	1434	3448	2198	2148	2782	1935
"PPP3CB"	3163	59220	4352	2706	2374	1978	1524	1182	1709	1158	1551	2129	1013	1195	1098	881	1049	668
"PPP3CC"	2228	100041	6062	3786	3443	2619	2149	1637	3405	2235	1901	3759	579	696	460	581	673	509
"PPP3R1"	3017	73664	8525	5431	4844	3681	3021	2410	3574	2518	2201	4091	2696	3817	2587	588	2653	2141
"PPP3R2"	3386	3386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPP4C"	1449	9306	740	661	388	352	369	292	339	501	373	1041	2002	2060	2254	2450	3244	2107
"PPP4R1"	3986	67810	2715	146	1494	1221	79	67	1594	154	593	199	1494	1426	1284	1354	2143	1337
"PPP4R1L"	2505	15121	1691	734	918	773	438	296	1302	1169	318	1953	194	263	205	182	306	141
"PPP4R2"	1471	68894	3784	6977	2020	1764	3718	3259	1445	3719	723	4835	1485	1891	1463	1615	1535	1112
"PPP4R4"	3893	105425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPP5C"	2073	43811	659	62	372	287	41	21	753	97	344	89	717	543	793	729	1004	817
"PPP6C"	4357	43367	715	663	467	248	390	273	328	537	212	909	2121	1870	2126	2060	2482	1841
"PPPDE1"	4095	55982	1263	537	810	453	297	240	703	414	148	481	1230	1318	1145	947	1231	772
"PPPDE2"	751	19982	1661	3379	897	764	1999	1380	667	1146	906	4229	238	1457	480	572	603	367
"PPRC1"	5350	17303	1282	1715	729	553	949	766	526	1042	530	2105	1127	2032	1391	2778	1602	1763
"PPT1"	2583	24762	7040	531	4171	2869	293	238	1259	602	3327	1171	7499	11073	19746	4741	70339	31334
"PPT2"	4579	18135	288	11	188	100	11	0	168	71	100	20	2082	2519	2266	1617	4147	2220
"PPTC7"	3754	48829	1688	1284	1030	658	669	615	806	1365	180	2135	1432	2308	197	403	236	134
"PPWD1"	2142	24239	978	373	510	468	215	158	613	228	0	149	723	775	591	742	812	544
"PPY"	460	1662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PPY2"	658	846	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
"PPYR1"	1958	4787	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
"PQBP1"	1184	4646	157	181	81	76	127	54	56	115	0	84	937	1031	900	1070	1245	998
"PQLC1"	2629	48607	8516	8714	4506	4010	4487	4227	3227	5724	7657	13545	527	756	987	1451	1693	866
"PQLC2"	2262	17055	758	122	402	356	70	52	402	165	297	56	559	380	572	354	819	505
"PQLC3"	1791	23458	1091	158	651	440	79	79	583	76	972	125	2330	2360	2082	1274	2472	1634
"PR"	12993	100191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAC"	375	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAC2"	566	1579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAF2"	1264	2844	0	0	0	0	0	0	29	21	0	0	62	59	74	64	77	79
"PRAGMIN"	4631	64000	24072	27236	13285	10787	14650	12586	8018	12891	14388	12962	3324	3512	3817	3560	5286	1742
"PRAJA1BETA"	2440	4760	0	5	0	0	5	0	0	16	0	0	588	574	609	517	600	437
"PRAM1"	2175	12556	1224	133	663	561	86	47	624	166	3231	645	1334	628	2110	1093	2236	1292
"PRAME"	2763	11574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF1"	1610	4679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF10"	1521	5368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF11"	1843	6798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF12"	1786	3064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF13"	2168	5244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF14"	2104	5244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF16"	1587	3005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF17"	1560	2978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF18"	2126	3518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF2"	1646	4825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF20"	1601	10879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF22"	2107	3498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF4"	1844	6994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF5"	1859	9239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF6"	1859	9240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF8"	1848	4121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF9"	1867	7017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAP1"	782	5345	846	519	463	383	258	261	623	409	1694	367	70	73	74	90	96	59
"PRB1"	1175	3769	107	105	74	33	36	69	15	11	0	0	0	0	0	0	0	0
"PRB2"	1432	4026	111	0	64	47	0	0	16	14	0	0	0	0	0	0	0	0
"PRB3"	1095	3785	694	479	405	289	280	199	93	93	0	0	0	0	0	1	0	0
"PRB4"	918	3352	46503	36773	26059	20444	20104	16669	16075	10236	5986	9207	637	917	584	541	673	464
"PRC1"	3122	28532	113	11	57	56	3	8	109	0	0	0	67	61	6	11	34	11
"PRCC"	2125	33332	952	980	567	385	529	451	536	655	174	1076	1318	988	1069	984	1361	971
"PRCD"	2070	17792	0	0	0	0	0	0	112	68	0	0	5	0	20	19	29	50
"PRCP"	2215	76149	6278	377	3497	2781	207	170	2492	132	1128	210	4553	5022	3129	6026	8409	3832
"PRDM1"	5172	23621	3161	13683	1751	1410	7317	6366	531	6191	92	6326	1203	14289	444	3394	919	3142
"PRDM10"	6343	103130	876	237	500	376	133	104	700	156	176	331	542	524	615	486	693	393
"PRDM11"	2236	131340	78	0	48	30	0	0	510	176	14	0	26	24	15	12	12	23
"PRDM12"	2497	18405	0	0	0	0	0	0	11	24	0	0	0	0	0	0	0	0
"PRDM13"	3208	8806	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
"PRDM14"	2213	19539	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"PRDM15"	6746	81206	275	362	170	105	174	188	480	1209	27	1312	356	401	421	467	487	390
"PRDM16"	8737	369441	0	0	0	0	0	0	2739	1346	0	0	0	0	0	0	0	0
"PRDM2"	7965	120224	15290	6897	8387	6903	3804	3093	6963	3573	8759	6215	2907	2654	3201	2163	4041	2003
"PRDM4"	4198	28272	424	57	288	136	35	22	358	21	62	0	810	524	558	713	1101	711
"PRDM5"	2495	228085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRDM6"	3034	98905	0	0	0	0	0	0	36	10	0	0	0	0	0	0	0	0
"PRDM7"	3230	19364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
